Raf,Mek,Plcg,PIP2,PIP3,Erk,Akt,PKA,PKC,P38,Jnk
-0.7870510075497146,-0.613477489049606,-0.727948332313949,-0.6768068045803675,0.8291508379122783,-0.1733485394572377,-0.19734930657001876,-0.3579097387844798,0.1709975318963965,0.5602967588709156,0.03579472377974363
-0.5598870069271515,-0.4931830090604635,-0.49063706725470885,-0.6928565622785597,-0.6532355816345203,-0.03988776228900334,-0.07490293291940218,-0.5029223351399842,-1.005508838524681,-0.902827468971669,0.5350056202569871
0.0020449946128729877,0.5129162781214558,-0.3337934150603835,-0.7634754961506054,-0.5107603129707566,-0.08107248918829167,-0.07490293291940218,-0.3836377800733596,-0.31237999373515407,-0.10944320457815487,-0.440197061233442
0.3272481955041212,1.9236424525395814,0.2458461691360365,-0.7281660292145825,-0.8533445832074452,-0.18203072512789845,-0.23842808998829013,-0.09127367451790702,-0.11384993856505302,-0.2794541183767649,-0.35660825996283374
-0.6124934070713239,-0.3728885290713209,-0.9754885312119495,-0.7685044202293723,-0.16554302955547684,-0.012060244113808526,0.03253388525146139,-0.6128512388288344,-0.8941593727988417,-0.42885764868463455,0.9947440272453322
-0.968782208047765,-0.9579571362912414,-0.12921473828517638,-0.6361474184116138,-0.5721972871378825,-0.11446551099852545,-0.12862134200483397,0.10051717872646986,-0.11384993856505302,0.7766742855236923,0.449094907839973
-0.3446790063373549,0.23587444541918814,-0.6202035625456733,0.5397648289426029,-0.41421649642241565,-0.15052997455357792,-0.19023951713224102,0.6267725687262845,-0.0016372986863001408,0.09663063032925141,-0.47270381728312294
-0.2848990061735225,-0.5478623181464374,-0.3337934150603835,-0.5462687753017373,-0.3791096540412008,-0.02207815065687868,0.026214072417881148,-0.2362862708734115,-0.7405143735802417,-0.49583164502954163,-0.4285875055014131
1.0685201975356429,1.1471962635187527,-0.6065649840939928,-0.6468472568770753,0.33180390417840067,-0.11891791390655662,-0.14600082729717956,-0.2854034406067275,1.2240699984508459,1.3897439443732258,-0.30552621474190655
-0.9137846078970392,-0.3109186454405506,-1.2012070045872614,1.3208530369212912,0.3873897379486577,-0.09999520154742415,0.7348230863830622,-0.8280312205176475,-0.0361642648028395,-0.377339189957783,1.4521605230872716
-1.0261710082050441,-0.4968282963328618,-0.34061270428622376,-0.6907165945854674,-0.5634205765425789,-0.0031554382977462174,-0.05831342423125413,-0.27604778922895307,0.4644767438869806,0.5602967588709156,-0.33338914849877593
0.358333795589314,-0.259884623626975,-0.8179629500950402,-0.7067663522836596,-0.12458504677739284,-0.014286445567824142,-0.04330386875150114,-0.41638255989557027,1.4571270197374864,1.9049285316417417,-0.06869127780851662
